,title,url
0,Fearless (Taylor's Version),https://www.youtube.com/watch?v=7lLigiVgJsE&list=OLAK5uy_lUwH9j_s3ZEeayUSm5o93gtQVz0If_kd8
1,evermore,https://www.youtube.com/watch?v=RsEZmictANA&list=OLAK5uy_m-vSVOiVeY_z2lPgThmS6Nn0TJExXZtOg
2,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],https://www.youtube.com/watch?v=KsZ6tROaVOQ&list=OLAK5uy_kBCcQO_p5kZzSJDsJ7wA5WSSQ_FUL4Xu0
3,folklore,https://www.youtube.com/watch?v=KsZ6tROaVOQ&list=OLAK5uy_nWgO-2lNMsx90439Yx0xTWCGIktUc74e8
4,Lover,https://www.youtube.com/watch?v=p1cEvNn88jM&list=OLAK5uy_nHHWc9S0Nw7oLyLYBptkJ4DpkQeoL1Igw
5,reputation,https://www.youtube.com/watch?v=wIft-t-MQuE&list=OLAK5uy_kyYsExXByLh2281MMfi0QvZJF5epEUxbk
6,1989 (Big Machine Radio Release Special),https://www.youtube.com/watch?v=r40CGYYxUjo&list=OLAK5uy_l5sgfcEuhiKtVdiLPdzwnHar1o04pbyHo
7,1989,https://www.youtube.com/watch?v=AP3aieVtq00&list=OLAK5uy_lglIKPOFCG5X9_Rf4Hxsmmh9GEeHL94Jo
8,Red (Deluxe Edition),https://www.youtube.com/watch?v=QQsgJJ_CzBc&list=OLAK5uy_mwwCV3ci_DoOhgq27DRqnrVG3QOR_S2hQ
9,Red,https://www.youtube.com/watch?v=DFCBBKc-zKY&list=OLAK5uy_kQSI-a7JP-rrMg32DTz9Mc9Zi0wmsb8wA
10,Speak Now (Big Machine Radio Release Special),https://www.youtube.com/watch?v=rSAvXXo4Y-0&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ
11,Speak Now,https://www.youtube.com/watch?v=XPBwXKgDTdE&list=OLAK5uy_k_sq8Sp6KDtHZIxW6ovITiJhl6SIC-5gw
12,Fearless (Big Machine Radio Release Special),https://www.youtube.com/watch?v=MnE0lwBoYhk&list=OLAK5uy_n4kTPU8sB-vkL_W3p4IzguOP5BWhJunxU
13,Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg&list=OLAK5uy_kymlVnEd_mmMQfc4GJJPTNOW-ipnOhsrY
14,Taylor Swift (Big Machine Radio Release Special),https://www.youtube.com/watch?v=N5a-4i7fHwo&list=OLAK5uy_mXUC-nlXDfQzVHNdofO1tfvsqpo9gSb2E
15,Taylor Swift,https://www.youtube.com/watch?v=GkD20ajVxnY&list=OLAK5uy_l320Kcg2IKwpIRR07SD-ZejNX0cxRF32c
16,Speak Now World Tour Live,https://www.youtube.com/watch?v=0HzSI8INdyI&list=OLAK5uy_kWNYh2JP5uga3mbNeIxmgQOoW6cxPDzgw
17,Live From Clear Channel Stripped 2008,https://www.youtube.com/watch?v=uD38wBycVws&list=OLAK5uy_kUWWgnL8fD_0M-WvfamCn4FHYghXW-3i0
18,reputation (Big Machine Radio Release Special),https://www.youtube.com/watch?v=BZtgDcL6NE4&list=OLAK5uy_nG4bagk5zcMrBfX--cJ88RfRu1F2ows04
19,reputation Stadium Tour Surprise Song Playlist,https://www.youtube.com/watch?v=U_VKZrYcVn0&list=OLAK5uy_muWVhe6KUrL5vBuSEllWnBnEGETMOe0Wo
20,"the ""ladies lunching"" chapter",https://www.youtube.com/watch?v=pVWMxOlqdlk&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY
21,"the ""forever is the sweetest con"" chapter",https://www.youtube.com/watch?v=YPlNBb6I8qU&list=OLAK5uy_ls0dM_61Epmg-wRCV0S-jS4L4NdsMIo50
22,"the ""dropped your hand while dancing"" chapter",https://www.youtube.com/watch?v=wMpqCRF7TKg&list=OLAK5uy_l8ULIuwB5Lxcpbv5stofphwCPJpsc42N8
23,folklore: the yeah I showed up at your party chapter,https://www.youtube.com/watch?v=orXAg5dIMa8&list=OLAK5uy_ke0axxM_HI8t7jOaZVbuOnVCnK1wX9QMo
24,folklore: the saltbox house chapter,https://www.youtube.com/watch?v=2s5xdY6MCeI&list=OLAK5uy_nTZ-lq3gyWJJEg5yIV9Aq5s2TEI28NGPs
25,folklore: the sleepless nights chapter,https://www.youtube.com/watch?v=osdoLjUNFnA&list=OLAK5uy_nLQRrXBKpyA81K4OJjxLWh8qQ3GgZRL0c
26,folklore: the escapism chapter,https://www.youtube.com/watch?v=tOHcAc3r2kw&list=OLAK5uy_mKy7UJ16y4S8k72aljmU9gcaaGk5kUwZc
27,The Taylor Swift Holiday Collection,https://www.youtube.com/watch?v=NUZR_76Ruc4&list=OLAK5uy_mpN5EKpDAO1nSDcSIebf4fbEDqbVJv7hE
28,willow (the witch collection),https://www.youtube.com/watch?v=RsEZmictANA&list=OLAK5uy_nw5XKbAgOFu1_snbFLJeKE2DXR2MA7ADg
29,You All Over Me (Taylor’s Version) [From The Vault],https://www.youtube.com/watch?v=XKaMUm7YwZc&list=OLAK5uy_lKZJVL9n58SGs2MurqeiPfHHOd5esuBcI
30,Love Story (Taylor’s Version),https://www.youtube.com/watch?v=aXzVF3XeS8M&list=OLAK5uy_mps9ktvxfmfEDE5PC0CUAD8qNv6n3_zdI
31,Christmas Tree Farm,https://www.youtube.com/watch?v=49TqyH5mHRI&list=OLAK5uy_n19nPMZM3g3hd7REoSP6nOjT1ObGZthpg
32,willow (lonely witch version),https://www.youtube.com/watch?v=CYHt7_RANiY&list=OLAK5uy_mi2ISvVADFUfHh3egdg0NM4lBtb8y1YN0
33,willow (moonlit witch version),https://www.youtube.com/watch?v=7XLW5CvDQ7E&list=OLAK5uy_lCBPMylqUAy24V1NSbzuvBfnXv6-BD0kA
34,cardigan (cabin in candlelight version),https://www.youtube.com/watch?v=i50QUXDeC80&list=OLAK5uy_mbWzvyZHTGmnXJFVUgjwhbs3Ai1tsPLvc
35,Only The Young (Featured in Miss Americana),https://www.youtube.com/watch?v=GJU-S1t2r1M&list=OLAK5uy_nv5ZytfmgPi4kT41m4A58IjbqEYrFd3is
36,Christmas Tree Farm,https://www.youtube.com/watch?v=mN3rDTAdM2o&list=OLAK5uy_lx-oYDd2Uwe5l8fe4XwxjhAZg4LNcL6Co
37,Lover (Remix),https://www.youtube.com/watch?v=b5Zay_Hd_7Q&list=OLAK5uy_k7JnhfHhCS2gxiY_FBBVNNzCjJP2Cugjk
38,ME!,https://www.youtube.com/watch?v=FuXNumBwDOM&list=OLAK5uy_lRinzBSCXclilgszZPHtsrZIcebqRW82A
39,Bad Blood,https://www.youtube.com/watch?v=QcIy9NiNbmo&list=OLAK5uy_kGA6KSL_WLHpUoeDEQYy7ML1j4KuLA4e0
40,Ronan,https://www.youtube.com/watch?v=AhWIkT6ryeM&list=OLAK5uy_l5Y-wu84UEM6VxX0iiN9Ud_Xm4HGrveP0
41,Love Story (Pop Mix),https://www.youtube.com/watch?v=k-ayMgEpDB4&list=OLAK5uy_l4p9ighwqgPfS8vhvm2ibWmfFE3s-U4Sk
42,Today Was A Fairytale,https://www.youtube.com/watch?v=rLiXLzd2Ol8&list=OLAK5uy_lyOVU43XzDFEx8EztLkzWLg8UHozLjSdc
43,betty (Live from the 2020 Academy of Country Music Awards),https://www.youtube.com/watch?v=orXAg5dIMa8&list=OLAK5uy_k1nX8q5JTutxVTmVg9_ynQGjMmp0H8Ssc
44,Daylight (Live From Paris),https://www.youtube.com/watch?v=JSD4XCBWzvs&list=OLAK5uy_kFEipgFz7wI9RwjaFXp20hx26GdFCazUo
45,Death By A Thousand Cuts (Live From Paris),https://www.youtube.com/watch?v=rqsmrSyLTNM&list=OLAK5uy_lNjSams75QFqQPbTSzIrvNJSltQGlto94
46,Cornelia Street (Live From Paris),https://www.youtube.com/watch?v=Vgt1d3eAm7A&list=OLAK5uy_mfuOILjg1GzLUs_CwXGGRCXA6hTxzvWvY
47,The Man (Live From Paris),https://www.youtube.com/watch?v=qs-U8qTsiho&list=OLAK5uy_lAFD7PQqr-wsuxtRDNSx6GXF_t4oYVufo
48,Lover (Live From Paris),https://www.youtube.com/watch?v=a4iTHPwioEc&list=OLAK5uy_kl4AqjUBMy4WQQykhZkLRjDNeaNobvulU
49,The Archer (Live From Paris),https://www.youtube.com/watch?v=d_2WyBcFbFY&list=OLAK5uy_mX4JZ5_rhfcDR0rUebyfvie25MtbyuqYU
50,You Need To Calm Down (Live From Paris),https://www.youtube.com/watch?v=Uxg-ivPGusQ&list=OLAK5uy_nJIt-t6WDCAH2uNkrO7Wh3DHGrYhmuQsk
51,ME! (Live From Paris),https://www.youtube.com/watch?v=DIMDgq_MYJs&list=OLAK5uy_lxeRXGzn19foWSli_FpUQUVDeww45EpQY
52,You're Not Sorry (CSI Remix),https://www.youtube.com/watch?v=RoUfPxSxi-E&list=OLAK5uy_n4aQTcXH_QANH5ti9zB84bsx2sgx1tCtg
53,Love Story (Taylor's Version) [Elvira Remix],https://www.youtube.com/watch?v=FeTHyZJvozc&list=OLAK5uy_nY60-OpzAWEb8tmWuPyQRE-_4_ADhykvI
54,willow (dancing witch version) [Elvira remix],https://www.youtube.com/watch?v=qAGef4MdPdE&list=OLAK5uy_mdG8WxEjcQ5n315lQnk5qj8Cx-uZFtfUE
55,Lover (First Dance Remix),https://www.youtube.com/watch?v=KmT4Y8w1nho&list=OLAK5uy_mRUti-uWiudBMMshoqed62EZQGWEViWh8
56,You Need To Calm Down (Clean Bandit Remix),https://www.youtube.com/watch?v=FBCtWS6_Gw8&list=OLAK5uy_nwzpR6hOKE6gngA_A8rzUUzp7pC6Yfz_0
57,Delicate (Seeb Remix),https://www.youtube.com/watch?v=wKOvh1Oh8W4&list=OLAK5uy_lh1AnLenDcKlqdCqCzFarTAqXI8CYDLAA
58,Delicate (Sawyr And Ryan Tedder Mix),https://www.youtube.com/watch?v=i1Xfv5hbRQQ&list=OLAK5uy_nRv4Ehg49_EPMzO5fAk7zJ71Ln1FGgteU
59,...Ready For It? (BloodPop® Remix),https://www.youtube.com/watch?v=GZeza5xTeuM&list=OLAK5uy_lrZfmHgz9csNVqk4OnHxpiyVUWBXJdJCU
60,Wildest Dreams (R3hab Remix),https://www.youtube.com/watch?v=VVfWrqQjVCM&list=OLAK5uy_klJhz_UAyeF0Dfu2YX74cPcPFEkQRPoo0
61,Everything Has Changed (Remix),https://www.youtube.com/watch?v=JJUmJQdTSQA&list=OLAK5uy_mlYFh9AnGsDrv4NdJAlQ1LCWdkv02HY2A
62,Love Story (Digital Dog Remix),https://www.youtube.com/watch?v=QBTliBtnYmU&list=OLAK5uy_lA8doEzHppWkJvx6-VD76oPRcAjI_RZTI
63,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],https://www.youtube.com/watch?v=rFjJs6ZjPe8&list=OLAK5uy_kGt8Na8M-Nsacqw9sm4cf9VWZef_xGSnk
64,Sweeter Than Fiction (Original Motion Picture Soundtrack),https://www.youtube.com/watch?v=ytGqUs3UIPk&list=OLAK5uy_kGGVCKrfTf08rfWjJ_aD_65e77Qpyu6qo
